owner_name,property_address,mailing_address,mail_city,APN,LastSaleDate,LastSaleValue,BorrowerName,ppp_city,ppp_state,CurrentApprovalAmount,ForgivenessAmount,LoanStatus,DateApproved,OriginatingLender,OriginatingLenderState,NAICSCode,BusinessType
DRT LLC,16862 CORAL CAY LN,20101 SW BIRCH ST STE 151,NEWPORT BEACH,178-653-37,07/29/1997,0.0,"DRT, LLC",Atlanta,GA,12345.0,,Charged Off,06/04/2020,"Kabbage, Inc.",GA,541990,Limited  Liability Company(LLC)
E & N ENTERPRISES LLC,345 AVOCADO ST UNIT A3,PO BOX 876,TUSTIN,938-650-26,09/30/2003,139500.0,"E & N ENTERPRISES, LLC",ORANGE CITY,IA,37400.0,37608.82,Paid in Full,04/09/2020,Iowa State Bank,IA,541320,Limited  Liability Company(LLC)
LC #2 LLC,19732 MATSONIA LN,1121 CORONA LN,COSTA MESA,155-035-05,05/31/2022,0.0,LC2 LLC,BELLE GLADE,FL,28637.0,28979.07,Paid in Full,05/01/2020,"Bank of America, National Association",NC,999990,Limited  Liability Company(LLC)
GFM INVESTMENTS LLC,1119 FLORIDA ST,4825 MAGNA CARTA BLVD,GRAND PRAIRIE,025-162-18,06/11/2019,1465000.0,"GFM INVESTMENTS, LLC",MEMPHIS,TN,19128.0,19369.07,Paid in Full,05/15/2020,"Bank of America, National Association",NC,531120,Limited  Liability Company(LLC)
POINTFAR AUTOMATION LLC,16655 PACIFIC COAST HWY,18710 VINTAGE ST,NORTHRIDGE,178-523-09,03/10/2026,1400000.0,POINTFAR AUTOMATION LLC,Santa Clarita,CA,2865.0,2875.36,Paid in Full,05/13/2021,"Leader Bank, National Association",MA,541330,Limited  Liability Company(LLC)
PEACEFUL JOURNEY LLC,16511 GOLDENWEST ST,PO BOX 1405,SUNSET BEACH,146-271-46,08/30/2018,0.0,PEACEFUL JOURNEY LLC,HUNTINGTON BEACH,CA,5010.0,5055.02,Paid in Full,05/08/2020,"Wells Fargo Bank, National Association",SD,531312,Limited  Liability Company(LLC)
A & D LLC,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,05/18/2021,0.0,A & D LLC,Asheville,NC,67912.0,68228.3,Paid in Full,02/23/2021,HomeTrust Bank,NC,448190,Corporation
LEGACY GLOBAL LLC,7303 CLAY AVE,19051 GOLDENWEST UNIT 106-312,TUSTIN,935-760-45,01/12/2004,0.0,LEGACY GLOBAL LLC.,Davidson,NC,36329.0,36481.28,Paid in Full,03/24/2021,Regions Bank,AL,423220,Limited  Liability Company(LLC)
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,06/04/2019,1127000.0,HB LLC,Fairfax,VA,8206.0,,Charged Off,05/12/2021,"Leader Bank, National Association",MA,541910,Limited Liability Partnership
KC GROUP LLC,15301 PACIFIC ST,10252 AVENIDA CINCO DE MAYO,FOUNTAIN VALLEY,142-052-10,11/16/2022,820000.0,"K & C GROUP, LLC",Federal Way,WA,17300.0,17481.65,Paid in Full,04/30/2020,Red Canoe CU,WA,812113,Limited  Liability Company(LLC)
PTCM LLC,1940 MAPLE AVE APT 101,10781 LACONIA DR,VILLA PARK,935-500-60,07/09/2013,0.0,"PTCM, LLC",EAGAN,MN,20832.0,20975.47,Paid in Full,08/07/2020,"JPMorgan Chase Bank, National Association",IL,531390,Limited  Liability Company(LLC)
CTA ENTERPRISES LLC,16221 WATSON CIR,9321 STANFORD AVE,GARDEN GROVE,107-911-25,11/19/2019,0.0,CTA ENTERPRISES LLC,GARDEN GROVE,CA,20832.0,21179.58,Paid in Full,04/30/2020,"Bank of America, National Association",NC,523930,Limited  Liability Company(LLC)
CTA ENTERPRISES LLC,5231 CHADWICK DR,13362 BROOKHURST ST,GARDEN GROVE,146-621-12,08/15/2001,0.0,CTA ENTERPRISES LLC,GARDEN GROVE,CA,20832.0,21179.58,Paid in Full,04/30/2020,"Bank of America, National Association",NC,523930,Limited  Liability Company(LLC)
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,06/04/2019,1127000.0,HB LLC,Denver,CO,16882.0,16984.68,Paid in Full,03/26/2021,"Wells Fargo Bank, National Association",SD,423990,Limited  Liability Company(LLC)
OG RESIDENTIAL LLC,8940 COMET CIR,16404 SHADOW CT,LA MIRADA,107-626-20,09/12/2025,925000.0,OG RESIDENTIAL LLC,LA MIRADA,CA,4240.0,4277.75,Paid in Full,05/01/2020,"Wells Fargo Bank, National Association",SD,,Corporation
