BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,InitialApprovalAmount,LoanStatus,DateApproved,LoanNumber,NAICSCode,ServicingLenderName,OriginatingLender
THOMAS AQUINAS COLLEGE,10000 OJAI ROAD,SANTA PAULA,CA,1860310.0,Paid in Full,04/27/2020,3496937205,611310,Banc of California,Banc of California
USS MIDWAY MUSEUM,910 HARBOR DR,SAN DIEGO,CA,1830695.0,Paid in Full,04/28/2020,7107777200,712110,Banc of California,Banc of California
PILGRIM PLACE IN CLAREMONT,625 MAYFLOWER RD,CLAREMONT,CA,1824875.0,Paid in Full,04/27/2020,4427577205,531110,Banc of California,Banc of California
"WESTSIDE INNOVATIVE SCHOOL HOUSE, INC.",6550 80TH ST,LOS ANGELES,CA,1762900.0,Paid in Full,04/27/2020,3966987204,611110,Banc of California,Banc of California
THE WILLOWS COMMUNITY SCHOOL,8509 HIGUERA ST,CULVER CITY,CA,1721149.0,Paid in Full,04/08/2020,8723967000,611110,Banc of California,Banc of California
THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF ANAHEIM,240 EUCLID ST,ANAHEIM,CA,1559915.0,Paid in Full,04/27/2020,4593347201,624110,Banc of California,Banc of California
"YPI CHARTER SCHOOLS, INC.",10660 WHITE OAK AVE,GRANADA HILLS,CA,1527500.0,Paid in Full,04/28/2020,9601817204,611110,Banc of California,Banc of California
PEOPLES' SELF-HELP HOUSING CORPORATION,3533 EMPLEO ST,SAN LUIS OBISPO,CA,1500000.0,Paid in Full,04/28/2020,7447287202,236116,Banc of California,Banc of California
"S.V.D.P. MANAGEMENT, INC.",3350 E ST,SAN DIEGO,CA,1482590.0,Paid in Full,04/27/2020,6106897205,624229,Banc of California,Banc of California
S.V.D.P. MANAGEMENT INC.,3350 E St,San Diego,CA,1482590.0,Paid in Full,01/30/2021,9482028304,624229,Banc of California,Banc of California
LOS ANGELES LEADERSHIP ACADEMY,2670 GRIFFIN AVE,LOS ANGELES,CA,1479000.0,Paid in Full,04/28/2020,8202567210,611110,Banc of California,Banc of California
LINFIELD CHRISTIAN SCHOOL,31950 PAUBA ROAD,TEMECULA,CA,1458000.0,Paid in Full,04/15/2020,9080267100,611110,Banc of California,Banc of California
ABRAHAM JOSHUA HESCHEL DAY SCHOOL,17701 DEVONSHIRE ST,NORTHRIDGE,CA,1448000.0,Paid in Full,04/14/2020,7568087110,611110,Banc of California,Banc of California
GREEN DOT PUBLIC SCHOOLS NATIONAL,1149 S HILL ST STE 600,LOS ANGELES,CA,1447637.55,Paid in Full,06/18/2020,8439137905,541611,Banc of California,Banc of California
EMPIRE SPRINGS CHARTER SCHOOL,27740 JEFFERSON AVENUE,TEMECULA,CA,1373750.0,Paid in Full,04/28/2020,7444277204,611110,Banc of California,Banc of California
GABRIELLA CHARTER SCHOOLS,1435 LOGAN ST,LOS ANGELES,CA,1356750.0,Paid in Full,04/28/2020,8385287200,611110,Banc of California,Banc of California
"WORLD IMPACT, INC.",2001 VERMONT AVE,LOS ANGELES,CA,1355740.0,Paid in Full,05/01/2020,8977757301,813110,Banc of California,Banc of California
"MERCY HOUSE LIVING CENTERS, INC.",807 N GARFIELD ST,SANTA ANA,CA,1339000.0,Paid in Full,04/13/2020,5552257109,624221,Banc of California,Banc of California
CITIZENS CLIMATE EDUCATION CORP.,1330 ORANGE AVE,CORONADO,CA,1210347.0,Paid in Full,04/28/2020,9110647207,813219,Banc of California,Banc of California
NEW WEST CHARTER MIDDLE SCHOOL,1905 ARMACOST AVE,LOS ANGELES,CA,1125500.0,Paid in Full,04/28/2020,8190187205,611110,Banc of California,Banc of California
"KIWI II CONSTRUCTION, INC.",28177 KELLER RD,MURRIETA,CA,1078000.0,Paid in Full,04/30/2020,7728137308,236220,Banc of California,Banc of California
XAVIER COLLEGE PREPARATORY HIGH SCHOOL,34200 COOK ST,PALM DESERT,CA,1074917.0,Paid in Full,04/27/2020,4209527203,611110,Banc of California,Banc of California
XAVIER COLLEGE PREPARATORY HIGH SCHOOL,34200 Cook St,Palm Desert,CA,1074917.0,Paid in Full,02/02/2021,1943578400,611110,Banc of California,Banc of California
HOLY MARTYRS ARMENIAN APOSTOLIC CHURCH INC.,5300 WHITE OAK AVE,ENCINO,CA,1055500.0,Paid in Full,04/28/2020,1088867308,813110,Banc of California,Banc of California
HOLY MARTYRS ARMENIAN APOSTOLIC CHURCH INC.,5300 White Oak Ave,Encino,CA,1055500.0,Paid in Full,01/30/2021,9521048303,813110,Banc of California,Banc of California
